IconclassURI,Emojiconclass,IconclassLabel
http://iconclass.org/61F,📜🏙️🏷️,"names of historical buildings, sites, streets, etc."
http://iconclass.org/61G,🏺🏷️,names of artefacts and man-made objects
http://iconclass.org/61H,®️🏷️,"names of organizations, companies, trade unions, etc."
http://iconclass.org/61I,📜📅🏷️,names of historical events and situations
http://iconclass.org/61K,,(other) historical names
http://iconclass.org/71A,,"Genesis from the creation to the expulsion from paradise, and later years of Adam and Eve"
http://iconclass.org/71B,,Genesis from the descendants of Cain and Seth to Abraham
http://iconclass.org/71C,,Genesis: the patriarchs
http://iconclass.org/71D,🧥🌈,Genesis: the story of Joseph
http://iconclass.org/71E,,"Exodus, Leviticus, Numbers, Deuteronomy, Joshua: from the bondage of the Israelites in Egypt to their settlement in Canaan"
http://iconclass.org/71F,,the time of the Judges
http://iconclass.org/71G,,story of Saul
http://iconclass.org/71H,,story of David
http://iconclass.org/71I,,story of Solomon
http://iconclass.org/71K,,"division of the Kingdom, and story of Israel, the Northern Kingdom"
http://iconclass.org/71L,,the divided kingdom: story of the Southern Kingdom (Judah)
http://iconclass.org/71M,,story of Elijah (Elias)
http://iconclass.org/71N,,story of Elisha (Eliseus)
http://iconclass.org/71O,,prophets (before and during the Babylonian Captivity)
http://iconclass.org/71P,,the story of the prophet Daniel; his visions and prophecies
http://iconclass.org/71Q,,the story of Esther
http://iconclass.org/71R,,"the books of Ezra, Nehemiah, and Esdras"
http://iconclass.org/71S,,prophets (after the Babylonian Captivity)
http://iconclass.org/71T,,the book of Tobit
http://iconclass.org/71U,,the book of Judith
http://iconclass.org/71V,,the book of Jonah
http://iconclass.org/71W,,the book of Job
http://iconclass.org/71X,,the lyric books: Psalms and Song of Solomon
http://iconclass.org/71Y,,the books of Wisdom
http://iconclass.org/71Z,,(books of the) Maccabees
http://iconclass.org/72A,,typological juxtapositions
http://iconclass.org/72B,,comprehensive typological compositions
http://iconclass.org/73A,,(scenes from the life of) John the Baptist and Mary
http://iconclass.org/73B,,birth and youth of Christ
http://iconclass.org/73C,,public life of Christ: from his baptism until the Passion
http://iconclass.org/73D,,Passion of Christ
http://iconclass.org/73E,,events from Resurrection to Pentecost (Matthew 28; Mark 16; Luke 24; John 20-21; Acts 1:3-11); Mary's and Joseph's death
http://iconclass.org/73F,,lives and acts of the apostles of Christ; epistles
http://iconclass.org/73G,,"the Revelation of John, the Apocalypse"
http://iconclass.org/81A,,Arthurian legend : Use 81(ARTHURIAN LEGEND)
http://iconclass.org/81B,,'Nibelungenlied' : Use 81(NIBELUNGENLIED)
http://iconclass.org/81C,,"Dante, 'Divina Commedia' : Use 83(DANTE, Divina Commedia)"
http://iconclass.org/81D,,"Boccaccio, 'Decameron' : Use 83(BOCCACCIO, Decamerone)"
http://iconclass.org/81E,,"Ariosto, 'Orlando Furioso' : Use 83(ARIOSTO, Orlando Furioso)"
http://iconclass.org/81F,,"Tasso, 'Gerusalemme Liberata' : Use 83(TASSO, Gerusalemme Liberata)"
http://iconclass.org/81G,,"'The Poems of Ossian' : Use 83(MACPHERSON, Poems of Ossian)"
http://iconclass.org/81H,,other cycles : Use 81(...)
http://iconclass.org/82A,📖👥🏷️,names of literary characters
http://iconclass.org/82B,🦄🌿🏷️,"names of fictional animals, plants, objects, etc."
http://iconclass.org/85A,,fables of Aesop : Use 85(...)
http://iconclass.org/85B,,fables of Lafontaine : Use 85(...)
http://iconclass.org/85C,,other fables : Use 85(...)
http://iconclass.org/91A,🆕🌌🏛️,genesis of the universe ~ classical mythology
http://iconclass.org/91B,,"offspring of Uranus and Gaea (Titans, Cyclopes, Centimani)"
http://iconclass.org/91C,,"the battles (of Titans, Giants, Typhon, Aloeids) with the gods"
http://iconclass.org/91D,,"division of the universe (among Jupiter, Neptune and Pluto)"
http://iconclass.org/91E,,origin of man
http://iconclass.org/92A,⛰️🔱,"the Olympian gods together: Jupiter, Juno, Neptune, Ceres, Apollo, Diana, Mars, Venus, Mercury, Minerva, Vulcan, Vesta (or Bacchus)"
http://iconclass.org/92B,,"the great gods of Heaven, and their train"
http://iconclass.org/92C,,"the great goddesses of Heaven, and their train"
http://iconclass.org/92D,,lesser divinities of Heaven ~ serving and attendant environment
http://iconclass.org/92E,,lesser divinities of Heaven ~ phenomena of air and sky
http://iconclass.org/92F,,lesser divinities of Heaven ~ birth and healing
http://iconclass.org/92G,,"lesser divinities of Heaven ~ destiny, fate, adversity"
http://iconclass.org/92H,🌊🔱,gods of the waters: Neptune and his environment
http://iconclass.org/92I,,gods of the waters: the older dynasty (first series): offspring of Pontus and the monsters of the sea
http://iconclass.org/92K,,"gods of the waters: the older dynasty (second series): children of Oceanus, river and small water deities"
http://iconclass.org/92L,🌍🔱,gods of the earth and fertility ~ life in mountains and woods
http://iconclass.org/92M,🌍🔱🚜,gods of the earth and fertility ~ agriculture
http://iconclass.org/92N,🔱👿,gods of the underworld
http://iconclass.org/93A,🤝🔱,meetings of the gods
http://iconclass.org/93B,🏛️⛰️,Olympus
http://iconclass.org/93C,,"Parnassus, sacred to Apollo Musagetes"
http://iconclass.org/93D,,"Helicon, sacred to the Muses"
http://iconclass.org/93E,,"Hades, the Underworld"
http://iconclass.org/93F,,the Garden of the Hesperides
http://iconclass.org/93G,🏠💤,"House of Sleep: a gloomy cave through which runs the river Lethe; possibly with two gates, one of ivory through which deceptive dreams issue, and one of horn through which true dreams issue"
http://iconclass.org/93H,,cave of winds
http://iconclass.org/93I,,other dwellings of the gods
http://iconclass.org/94A,,the story of the Argonauts: the quest for the Golden Fleece
http://iconclass.org/94B,,the Theban wars: the Seven against Thebes and the Epigoni
http://iconclass.org/94C,,the Trojan war (94C - 94H)
http://iconclass.org/94D,,the Trojan war: the journey to Troy
http://iconclass.org/94E,,the Trojan war: the arrival and the first nine years
http://iconclass.org/94F,,the tenth year of the Trojan war (part I); the wrath of Achilles: from the quarrel about Briseis to the death of Patroclus
http://iconclass.org/94G,,the tenth year of the Trojan war (part II): Achilles back to war; his last deeds and his death
http://iconclass.org/94H,,last months of the siege and the fall of Troy
http://iconclass.org/94I,,"adventures of the Greeks after the fall of Troy: the wanderings of Ulysses (Homer, Odyssey)"
http://iconclass.org/94K,,adventures of the Greeks after the fall of Troy: the return of other Greek heroes
http://iconclass.org/94L,,(story of) Hercules (Heracles)
http://iconclass.org/94M,,(story of) Theseus
http://iconclass.org/94N,,(story of) Meleager
http://iconclass.org/94O,,(story of) Orpheus
http://iconclass.org/94P,,(story of) Perseus
http://iconclass.org/94Q,,(story of) Orion
http://iconclass.org/94R,,(story of) the Dioscuri: Castor (the horse-tamer) and Pollux (the boxer)
http://iconclass.org/94S,,(story of) Bellerophon
http://iconclass.org/94T,,(story of) Oedipus
http://iconclass.org/95A,🦸‍♂️🔱,the Greek heroic legends (II): heroes
http://iconclass.org/95B,🦸‍♀️🔱,the Greek heroic legends (II): heroines
http://iconclass.org/96A,,"Roman deities, and foreign deities included in the classical Pantheon"
http://iconclass.org/96B,,"the story of Aeneas' wanderings to Italy (Virgil, Aeneid)"
http://iconclass.org/96C,,"heroes, male characters from the legendary origins of Rome"
http://iconclass.org/96D,,"heroines, female characters from the legendary origins of Rome"
http://iconclass.org/97A,,metamorphoses of male persons into trees
http://iconclass.org/97B,,metamorphoses of male persons into plants and flowers
http://iconclass.org/97C,,metamorphoses of male persons into mammals
http://iconclass.org/97D,,metamorphoses of male persons into birds
http://iconclass.org/97E,,metamorphoses of male persons into (fabulous) animals
